school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0
GP,F,17.0,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0
GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0
GP,F,15.0,U,GT3,T,4.0,2.0,health,services,home,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,father,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0
GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0
GP,F,17.0,U,GT3,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0
GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0
GP,F,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0
GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12.0
GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0
GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,16.0,16.0
GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14.0
GP,F,16.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,13.0,14.0,14.0
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,10.0,10.0
GP,M,17.0,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,6.0,5.0,5.0
GP,M,16.0,U,LE3,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,8.0,10.0,10.0
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,13.0,14.0,15.0
GP,M,15.0,U,GT3,T,4.0,4.0,health,health,other,father,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12.0,15.0,15.0
GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16.0
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12.0
GP,F,15.0,R,GT3,T,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8.0
GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8.0
GP,M,15.0,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11.0
GP,M,15.0,U,GT3,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,no,no,yes,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0,16.0,15.0
GP,M,16.0,U,LE3,A,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,11.0,11.0
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,12.0,11.0
GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17.0
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,services,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,9.0,11.0,12.0
GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,16.0
GP,M,15.0,U,LE3,T,3.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12.0
GP,M,16.0,U,GT3,T,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,12.0,14.0,15.0
GP,F,15.0,U,GT3,T,2.0,3.0,other,other,other,father,2.0,1.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,1.0,1.0,5.0,0.0,8.0,7.0,6.0
GP,M,15.0,U,LE3,T,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,15.0,16.0,18.0
GP,M,16.0,R,GT3,A,4.0,4.0,other,teacher,reputation,mother,2.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0,16.0,15.0
GP,F,15.0,R,GT3,T,3.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11.0
GP,F,15.0,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13.0
GP,F,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,2.0,2.0,1.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,7.0,10.0,11.0
GP,M,15.0,U,LE3,T,4.0,4.0,teacher,other,home,other,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,12.0,12.0
GP,M,15.0,U,GT3,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,19.0,18.0,18.0
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,11.0
GP,F,16.0,U,LE3,T,2.0,2.0,other,at_home,course,father,2.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0,10.0,9.0
GP,F,15.0,U,LE3,A,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6.0
GP,F,16.0,U,LE3,A,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,12.0,11.0
GP,M,16.0,U,GT3,T,4.0,3.0,health,services,reputation,mother,1.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0,19.0,20.0
GP,M,15.0,U,GT3,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0,15.0,14.0
... (file continues),,15.551020408163266,,,,3.183673469387755,2.8979591836734695,,,,,1.2857142857142858,1.9387755102040816,0.20408163265306123,,,,,,,,,4.040816326530612,3.2244897959183674,2.5714285714285716,1.2653061224489797,1.8571428571428572,3.836734693877551,4.530612244897959,11.448979591836734,12.040816326530612,12.183673469387756
